id,성별,연령대,가구원수,소득구간
16115,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
19821,여성,60대,2인가구,저소득(월 300만원 미만)
6526,남성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
21183,여성,20대,2인가구,중간소득(월 300~700만원 미만)
9443,여성,70대 이상,1인가구,저소득(월 300만원 미만)
25352,남성,70대 이상,3인가구 이상,저소득(월 300만원 미만)
22252,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
13154,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
24973,남성,20대,3인가구 이상,고소득(월 700만원 이상)
14125,여성,50대,2인가구,고소득(월 700만원 이상)
12893,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
14214,여성,50대,2인가구,고소득(월 700만원 이상)
5661,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
12579,남성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
24867,남성,20대,3인가구 이상,고소득(월 700만원 이상)
8878,여성,60대,1인가구,저소득(월 300만원 미만)
8106,남성,60대,1인가구,저소득(월 300만원 미만)
3529,남성,60대,2인가구,중간소득(월 300~700만원 미만)
9967,남성,60대,2인가구,저소득(월 300만원 미만)
5957,남성,60대,3인가구 이상,중간소득(월 300~700만원 미만)
5282,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
12312,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
4454,남성,60대,2인가구,저소득(월 300만원 미만)
5339,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
3323,남성,60대,2인가구,중간소득(월 300~700만원 미만)
24963,여성,20대,3인가구 이상,고소득(월 700만원 이상)
16488,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
20545,여성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
1181,여성,20대,1인가구,저소득(월 300만원 미만)
24,남성,20대,1인가구,중간소득(월 300~700만원 미만)
16866,여성,70대 이상,3인가구 이상,고소득(월 700만원 이상)
2498,남성,30대,2인가구,고소득(월 700만원 이상)
12536,남성,60대,3인가구 이상,고소득(월 700만원 이상)
16031,여성,30대,3인가구 이상,고소득(월 700만원 이상)
22496,여성,40대,3인가구 이상,고소득(월 700만원 이상)
2991,남성,50대,2인가구,고소득(월 700만원 이상)
20403,여성,70대 이상,2인가구,저소득(월 300만원 미만)
10805,남성,70대 이상,2인가구,저소득(월 300만원 미만)
11024,남성,70대 이상,2인가구,저소득(월 300만원 미만)
18294,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
19380,여성,60대,2인가구,중간소득(월 300~700만원 미만)
1172,여성,20대,1인가구,저소득(월 300만원 미만)
12637,남성,60대,3인가구 이상,고소득(월 700만원 이상)
15082,남성,60대,2인가구,중간소득(월 300~700만원 미만)
21289,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
23564,남성,30대,3인가구 이상,고소득(월 700만원 이상)
3942,여성,30대,2인가구,고소득(월 700만원 이상)
8170,남성,60대,1인가구,저소득(월 300만원 미만)
11228,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
25110,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
17484,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
16402,여성,40대,3인가구 이상,고소득(월 700만원 이상)
15224,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
3821,남성,70대 이상,2인가구,저소득(월 300만원 미만)
1703,여성,40대,1인가구,저소득(월 300만원 미만)
15083,남성,60대,2인가구,저소득(월 300만원 미만)
2135,여성,60대,1인가구,저소득(월 300만원 미만)
17483,여성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
6900,남성,40대,3인가구 이상,고소득(월 700만원 이상)
33,남성,20대,1인가구,저소득(월 300만원 미만)
11767,여성,70대 이상,2인가구,저소득(월 300만원 미만)
170,남성,20대,1인가구,중간소득(월 300~700만원 미만)
3608,남성,70대 이상,2인가구,저소득(월 300만원 미만)
17994,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
28836,남성,70대 이상,3인가구 이상,중간소득(월 300~700만원 미만)
15354,여성,60대,2인가구,중간소득(월 300~700만원 미만)
15506,남성,20대,2인가구,고소득(월 700만원 이상)
27611,남성,30대,3인가구 이상,중간소득(월 300~700만원 미만)
20531,여성,70대 이상,2인가구,저소득(월 300만원 미만)
13452,남성,50대,3인가구 이상,저소득(월 300만원 미만)
19499,여성,60대,2인가구,저소득(월 300만원 미만)
14071,여성,60대,2인가구,고소득(월 700만원 이상)
14330,여성,60대,2인가구,중간소득(월 300~700만원 미만)
18090,여성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
20316,여성,70대 이상,2인가구,저소득(월 300만원 미만)
14474,여성,60대,2인가구,고소득(월 700만원 이상)
19818,여성,60대,2인가구,중간소득(월 300~700만원 미만)
7282,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
20207,여성,60대,2인가구,저소득(월 300만원 미만)
440,남성,30대,1인가구,저소득(월 300만원 미만)
18757,여성,30대,2인가구,고소득(월 700만원 이상)
22412,남성,40대,3인가구 이상,중간소득(월 300~700만원 미만)
13213,남성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
15701,남성,20대,2인가구,중간소득(월 300~700만원 미만)
6225,여성,50대,3인가구 이상,중간소득(월 300~700만원 미만)
17259,여성,20대,3인가구 이상,저소득(월 300만원 미만)
22308,여성,40대,3인가구 이상,저소득(월 300만원 미만)
20874,남성,70대 이상,2인가구,저소득(월 300만원 미만)
7889,남성,40대,1인가구,저소득(월 300만원 미만)
3702,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
4745,여성,50대,2인가구,중간소득(월 300~700만원 미만)
5536,남성,50대,3인가구 이상,고소득(월 700만원 이상)
21128,여성,70대 이상,2인가구,저소득(월 300만원 미만)
2917,남성,50대,2인가구,고소득(월 700만원 이상)
3640,남성,70대 이상,2인가구,중간소득(월 300~700만원 미만)
11855,남성,60대,2인가구,저소득(월 300만원 미만)
19280,여성,50대,2인가구,중간소득(월 300~700만원 미만)
21241,남성,50대,2인가구,저소득(월 300만원 미만)
9921,남성,60대,2인가구,저소득(월 300만원 미만)
